Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.42329,Exact,0,Greigia stenolepis L.B.Sm.,Greigia stenolepis L.B.Sm.,Greigia stenolepis,6KSZ5,Greigia stenolepis L.B.Sm.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Greigia|Greigia stenolepis,
BestMatch,9.42329,Exact,0,Guzmania gloriosa (André) Mez,Guzmania gloriosa (André) André ex Mez,Guzmania gloriosa,6KV9G,Guzmania gloriosa (André) André ex Mez,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Guzmania|Guzmania gloriosa,
BestMatch,9.42329,Exact,0,Guzmania mitis L.B.Sm.,Guzmania mitis L.B.Sm.,Guzmania mitis,3HNF4,Guzmania mitis L.B.Sm.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Guzmania|Guzmania mitis,
BestMatch,9.42329,Exact,0,Guzmania sanguinea (André) Mez,Guzmania sanguinea (André) André ex Mez,Guzmania sanguinea,3HNGR,Guzmania sanguinea (André) André ex Mez,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Guzmania|Guzmania sanguinea,
BestMatch,9.42329,Exact,0,Guzmania squarrosa (Mez & Sodiro) L.B.Sm. & Pittendr.,Guzmania squarrosa (Mez & Sodiro) L.B.Sm. & Pittendr.,Guzmania squarrosa,3HNH9,Guzmania squarrosa (Mez & Sodiro) L.B.Sm. & Pittendr.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Guzmania|Guzmania squarrosa,
BestMatch,9.42329,Exact,0,Guzmania triangularis L.B.Sm.,Guzmania triangularis L.B.Sm.,Guzmania triangularis,3HNHT,Guzmania triangularis L.B.Sm.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Guzmania|Guzmania triangularis,
BestMatch,9.42295,Exact,0,Mezobromelia capituligera (Griseb.) J.R.Grant,Mezobromelia capituligera (Griseb.) J.R.Grant,Mezobromelia capituligera,42L73,Cipuropsis capituligera (Griseb.) Christenh. & Byng,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Cipuropsis|Cipuropsis capituligera,
BestMatch,9.42329,Exact,0,Neoregelia ampullacea (E. Morren) L.B.Sm.,Neoregelia ampullacea (É.Morren) L.B.Sm.,Neoregelia ampullacea,46RNT,Neoregelia ampullacea (É.Morren) L.B.Sm.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Neoregelia|Neoregelia ampullacea,
BestMatch,9.42329,Exact,0,Neoregelia carolinae (Beer) L.B.Sm.,Neoregelia carolinae (Beer) L.B.Sm.,Neoregelia carolinae,46RPB,Neoregelia carolinae (Beer) L.B.Sm.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Neoregelia|Neoregelia carolinae,
BestMatch,9.42295,Exact,0,Neoregelia pendula L.B. Sm.,Neoregelia pendula L.B.Sm.,Neoregelia pendula,46RRQ,"Hylaeaicum pendulum (L.B.Sm.) Leme, Zizka & Aguirre-Santoro",true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Hylaeaicum|Hylaeaicum pendulum,
BestMatch,9.42329,Exact,0,Pitcairnia petraea L.B.Sm.,Pitcairnia petraea L.B.Sm.,Pitcairnia petraea,6VM8V,Pitcairnia petraea L.B.Sm.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Pitcairnia|Pitcairnia petraea,
BestMatch,9.42329,Exact,0,Pitcairnia pungens Kunth,Pitcairnia pungens Kunth,Pitcairnia pungens,77LWW,Pitcairnia pungens Kunth,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Pitcairnia|Pitcairnia pungens,
BestMatch,9.42329,Exact,0,Pitcairnia trianae André,Pitcairnia trianae André,Pitcairnia trianae,77LYY,Pitcairnia trianae André,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Pitcairnia|Pitcairnia trianae,
BestMatch,9.42329,Exact,0,Puya bicolor Mez,Puya bicolor Mez,Puya bicolor,78P6C,Puya bicolor Mez,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Puya|Puya bicolor,
BestMatch,9.42329,Exact,0,Puya clava-herculis Mez & Sodiro,Puya clava-herculis Mez & Sodiro,Puya clava-herculis,4QLG2,Puya clava-herculis Mez & Sodiro,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Puya|Puya clava-herculis,
BestMatch,9.42329,Exact,0,Puya cryptantha Cuatrec.,Puya cryptantha Cuatrec.,Puya cryptantha,4QLGD,Puya cryptantha Cuatrec.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Puya|Puya cryptantha,
BestMatch,9.42053,Exact,0,Puya floccosa (Linden) Mez,Puya floccosa (Linden) É.Morren ex Mez,Puya floccosa,4QLH6,Puya floccosa (Linden) É.Morren ex Mez,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Puya|Puya floccosa,
BestMatch,9.42329,Exact,0,Puya goudotiana Mez,Puya goudotiana Mez,Puya goudotiana,4QLHR,Puya goudotiana Mez,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Puya|Puya goudotiana,
BestMatch,9.42329,Exact,0,Puya lineata Mez,Puya lineata Mez,Puya lineata,4QLK3,Puya lineata Mez,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Puya|Puya lineata,
BestMatch,9.42329,Exact,0,Puya loca Madriñán,Puya loca Madriñán,Puya loca,4QLK5,Puya loca Madriñán,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Puya|Puya loca,
BestMatch,9.42329,Exact,0,Puya nitida Mez,Puya nitida Mez,Puya nitida,4QLL2,Puya nitida Mez,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Puya|Puya nitida,
BestMatch,9.42329,Exact,0,Puya santosii Cuatrec.,Puya santosii Cuatrec.,Puya santosii,4QLMR,Puya santosii Cuatrec.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Puya|Puya santosii,
BestMatch,9.42329,Exact,0,Puya trianae Baker,Puya trianae Baker,Puya trianae,78P8Q,Puya trianae Baker,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Puya|Puya trianae,
